id,name,location,cuisine,avg_cost_for_two,rating,budget_band
annam-ilaiyil::bannerghatta-road,Annam Ilaiyil,bannerghatta road,south indian,450.0,,low
kopper-pot::bannerghatta-road,Kopper Pot,bannerghatta road,bakery,500.0,,low
chillax-point::bannerghatta-road,Chillax Point,bannerghatta road,"north indian, chinese",300.0,,low
little-sweetooth::bannerghatta-road,Little Sweetooth,bannerghatta road,bakery,300.0,,low
tandoor-plaza::bannerghatta-road,Tandoor Plaza,bannerghatta road,north indian,500.0,,low
chef-snow::bannerghatta-road,Chef Snow,bannerghatta road,"north indian, chinese",300.0,,low
northway-cuisine::bannerghatta-road,Northway Cuisine,bannerghatta road,"north indian, chinese",350.0,,low
udupi-biriyani-point::bannerghatta-road,Udupi Biriyani Point,bannerghatta road,"north indian, south indian",190.0,,low
fresh-code::bannerghatta-road,Fresh Code,bannerghatta road,"chinese, north indian",300.0,,low
a-1-chicken-biriyani-kababs::bannerghatta-road,A-1 Chicken Biriyani & Kababs,bannerghatta road,mughlai,200.0,,low
the-ocean-kitchen::bannerghatta-road,The Ocean Kitchen,bannerghatta road,"north indian, chinese, seafood, south indian",200.0,,low
smooth::bannerghatta-road,Smooth,bannerghatta road,"desserts, ice cream",200.0,,low
om-nom-thai::south-bangalore,Om Nom Thai,south bangalore,"thai, momos",400.0,,low
mr-shawarma::bannerghatta-road,Mr Shawarma,bannerghatta road,fast food,200.0,,low
chocolate-junction::bannerghatta-road,Chocolate Junction,bannerghatta road,desserts,200.0,,low
pohawala::bannerghatta-road,Pohawala,bannerghatta road,fast food,100.0,,low
wellness-cafe::bannerghatta-road,Wellness Cafe,bannerghatta road,"cafe, healthy food",400.0,,low
stajasia-ahara::bannerghatta-road,Stajasia Ahara,bannerghatta road,mexican,100.0,,low
zainee-home-food::bannerghatta-road,Zainee Home food,bannerghatta road,north indian,300.0,,low
pumpkin-food-workshop::bannerghatta-road,Pumpkin Food Workshop,bannerghatta road,"chinese, north indian, south indian",350.0,,low
wow-laddus::jp-nagar,WOW Laddus,jp nagar,mithai,800.0,,low
ambur-hotel::bannerghatta-road,Ambur Hotel,bannerghatta road,south indian,250.0,,low
the-biryani-house::jp-nagar,The Biryani House,jp nagar,andhra,400.0,,low
