id,name,location,cuisine,avg_cost_for_two,rating,budget_band
cocoa-bakes::banashankari,Cocoa Bakes,banashankari,"bakery, desserts",350.0,3.6,low
chumma-delicious::banashankari,Chumma Delicious,banashankari,"south indian, fast food",200.0,3.7,low
new-prashanth-hotel::banashankari,New Prashanth Hotel,banashankari,"biryani, north indian, seafood, andhra",650.0,3.9,low
dwaraka-grand::kumaraswamy-layout,Dwaraka Grand,kumaraswamy layout,"south indian, chinese, street food, juices",500.0,3.9,low
gufha---the-president-hotel::jayanagar,Gufha - The President Hotel,jayanagar,"north indian, afghani, mughlai",1200.0,4.1,medium
tanna-s-kitchen::kumaraswamy-layout,Tanna's Kitchen,kumaraswamy layout,"italian, chinese, street food",250.0,3.1,low
shree-mandarathi-grand::uttarahalli,Shree Mandarathi Grand,uttarahalli,"south indian, north indian",400.0,3.7,low
mojo-pizza---2x-toppings::banashankari,Mojo Pizza - 2X Toppings,banashankari,pizza,600.0,4.2,low
iceberg-icecreams::basavanagudi,Iceberg Icecreams,basavanagudi,"desserts, ice cream",250.0,4.0,low
south-kitchen::basavanagudi,South Kitchen,basavanagudi,south indian,100.0,4.3,low
chung-wah::jayanagar,Chung Wah,jayanagar,"chinese, thai, momos",850.0,3.7,medium
shanthi-sagar::uttarahalli,Shanthi Sagar,uttarahalli,"south indian, north indian, chinese",400.0,3.1,low
millet-mama::basavanagudi,Millet Mama,basavanagudi,"south indian, healthy food",200.0,3.9,low
bangarpet-chat-express::basavanagudi,Bangarpet Chat Express,basavanagudi,"street food, fast food",100.0,3.3,low
prems-graama-bhojanam::jayanagar,Prems Graama Bhojanam,jayanagar,south indian,400.0,4.3,low
java-city::jayanagar,Java City,jayanagar,"cafe, american, pizza",450.0,2.6,low
kamat-bugle-rock::basavanagudi,Kamat Bugle Rock,basavanagudi,"south indian, fast food",300.0,3.9,low
puliyogare-point::basavanagudi,Puliyogare Point,basavanagudi,south indian,100.0,4.2,low
bangalore-agarwal-bhavan::jayanagar,Bangalore Agarwal Bhavan,jayanagar,"street food, north indian, south indian",400.0,3.9,low
rustic-stove::jayanagar,Rustic Stove,jayanagar,"north indian, south indian, biryani, beverages",900.0,3.8,medium
udupi-ruchi-grand::banashankari,Udupi Ruchi Grand,banashankari,"south indian, north indian, chinese, street food",200.0,4.2,low
de-thaali::jayanagar,De Thaali,jayanagar,"north indian, chinese, rolls",550.0,3.9,low
just-thindi::basavanagudi,Just Thindi,basavanagudi,south indian,200.0,3.6,low
matru-sagar::banashankari,Matru Sagar,banashankari,"south indian, north indian, chinese",250.0,3.6,low
vasanth-vihar---since-1965::banashankari,Vasanth Vihar - Since 1965,banashankari,"south indian, street food",150.0,3.6,low
sea-spice-by-7-star::banashankari,Sea Spice by 7 Star,banashankari,"seafood, biryani, beverages, south indian, north indian, kebab",1200.0,4.0,medium
desi-dawat::kumaraswamy-layout,Desi Dawat,kumaraswamy layout,"north indian, fast food",400.0,3.7,low
cafe-aira::basavanagudi,Cafe Aira,basavanagudi,"cafe, continental, beverages, desserts",500.0,4.1,low
mast-punjabi::kumaraswamy-layout,Mast Punjabi,kumaraswamy layout,"north indian, chinese, rolls, biryani, kebab",400.0,2.6,low
south-grand::uttarahalli,South Grand,uttarahalli,"south indian, north indian, chinese, beverages",400.0,3.4,low
the-pizzeria::banashankari,The Pizzeria,banashankari,"pizza, italian, salad",800.0,2.8,low
cafe-zone::kumaraswamy-layout,Cafe Zone,kumaraswamy layout,"fast food, chinese, rolls",300.0,3.9,low
ruchis-point::banashankari,Ruchis Point,banashankari,"fast food, chinese",200.0,3.8,low
firangi-bake::rajarajeshwari-nagar,Firangi Bake,rajarajeshwari nagar,"mexican, italian",600.0,4.0,low
the-royal-corner---pai-viceroy::jayanagar,The Royal Corner - Pai Viceroy,jayanagar,"north indian, chinese",900.0,4.2,medium
hara-fine-dine::banashankari,Hara Fine Dine,banashankari,"north indian, chinese",800.0,4.0,low
chocoberry::jayanagar,Chocoberry,jayanagar,"ice cream, desserts, beverages",400.0,3.5,low
dakshin-grand::banashankari,Dakshin Grand,banashankari,"south indian, north indian, chinese, street food",300.0,3.0,low
sandwichwallas::jayanagar,Sandwichwallas,jayanagar,fast food,200.0,3.7,low
chai-mane::basavanagudi,Chai Mane,basavanagudi,"juices, fast food",150.0,3.6,low
slv-upachar::kumaraswamy-layout,SLV Upachar,kumaraswamy layout,"south indian, chinese, street food",250.0,3.1,low
waffle-a-go-go::banashankari,Waffle-A-Go Go,banashankari,"fast food, desserts, ice cream",400.0,3.9,low
cross-road-cafe::jayanagar,Cross Road Cafe,jayanagar,"cafe, fast food, chinese",300.0,3.9,low
